Topic (EN),Topic (VI),Word A (EN),Word A (VI),Word B (EN),Word B (VI)
Social Media,Mạng xã hội,Following,Đang theo dõi,Followers,Người theo dõi
Social Media,Mạng xã hội,Verified Account,Verified Account,Fan Account,Fan Account
Social Media,Mạng xã hội,Collab Post,Collab Post,Tagged Post,Tagged Post
Social Media,Mạng xã hội,Paid Promotion,Khuyến mãi trả phí,Organic Post,Organic Post
Social Media,Mạng xã hội,Going Viral,Đang lan truyền,Getting Featured,Nổi bật
Social Media,Mạng xã hội,Comment Section,Phần Bình Luận,DMs,DM
Social Media,Mạng xã hội,Pinned Comment,Bình luận được ghim,Top Comment,Bình luận hàng đầu
Social Media,Mạng xã hội,Edit Caption,Chỉnh sửa chú thích,Delete Post,Xóa bài đăng
Household,Đồ dùng gia đình,Mummy,Mẹ,Aunty (neighbour),Cô hàng xóm
Household,Đồ dùng gia đình,Papa,Bố,Uncle (neighbour),Bác hàng xóm
Household,Đồ dùng gia đình,Geyser,Bình nóng lạnh,Water Heater,Máy nước nóng
Household,Đồ dùng gia đình,Cooler,Quạt điều hòa,Desert Cooler,Máy làm mát không khí
Household,Đồ dùng gia đình,Society,Xã hội,Apartment,Căn hộ
Household,Đồ dùng gia đình,Flat,Căn hộ,Floor,Tầng / Sàn nhà
Household,Đồ dùng gia đình,Early Bird,Người dậy sớm,Night Owl,Cú đêm
Household,Đồ dùng gia đình,Monday,Thứ hai,Sunday,Chủ nhật
Household,Đồ dùng gia đình,Weekend,Cuối tuần,Holiday,Kỳ nghỉ
Household,Đồ dùng gia đình,Summer Vacation,Kỳ nghỉ hè,Winter Break,Kỳ nghỉ đông
Household,Đồ dùng gia đình,New Year's Eve,Đêm giao thừa,Birthday Eve,Đêm sinh nhật
Household,Đồ dùng gia đình,Surprise Party,Bữa Tiệc Bất Ngờ,Planned Party,Bữa tiệc theo kế hoạch
Household,Đồ dùng gia đình,Gift,Quà tặng,Treat,Khao ăn uống
Photography,Nhiếp ảnh,Pose,Pose,Casual Click,Nhấp chuột thông thường
Photography,Nhiếp ảnh,Filter,Filter,Edit,Edit
Photography,Nhiếp ảnh,Crop,Crop,Zoom,Zoom
Photography,Nhiếp ảnh,Front Camera,Camera trước,Rear Camera,Camera sau
Photography,Nhiếp ảnh,Golden Hour,Golden Hour,Blue Hour,Blue Hour
Photography,Nhiếp ảnh,Wide Angle,Wide Angle,Macro,Macro
Photography,Nhiếp ảnh,Natural Light,Natural Light,Ring Light,Ring Light
Music,Âm nhạc,DJ,DJ,Producer,Producer
Music,Âm nhạc,Single,Single,Track,Track
Music,Âm nhạc,Lo-fi,Lo-fi,Chill,Chill
Music,Âm nhạc,Romantic Song,Nhạc tình ca,Sad Song,Nhạc buồn
Music,Âm nhạc,Freestyle,Freestyle,Cypher,Cypher
Food,Món ăn,Pho,Phở,Bun Bo,Bún bò
Food,Món ăn,Pho,Phở,Hu Tieu,Hủ tiếu
Food,Món ăn,Pho,Phở,Bun Rieu,Bún riêu
Food,Món ăn,Com Tam,Cơm tấm,Com Nieu,Cơm niêu
Food,Món ăn,Com Tam,Cơm tấm,Com Rang,Cơm rang
Food,Món ăn,Com Tam,Cơm tấm,Xoi Xeo,Xôi xéo
Food,Món ăn,Nem Ran,Nem rán,Goi Cuon,Gỏi cuốn
Food,Món ăn,Banh Chung,Bánh chưng,Banh Tet,Bánh tét
Food,Món ăn,Bun Cha,Bún chả,Bun Thit Nuong,Bún thịt nướng
Food,Món ăn,Banh Cuon,Bánh cuốn,Banh Uot,Bánh ướt
Food,Món ăn,Keo Cu Do,Kẹo cu đơ,Keo Lac,Kẹo lạc
Food,Món ăn,Banh Pia,Bánh pía,Banh In,Bánh in
Food,Món ăn,Che Troi Nuoc,Chè trôi nước,Che Troi Tau,Chè trôi tàu
Food,Món ăn,Bun Rieu,Bún riêu,Bun Oc,Bún ốc
Food,Món ăn,Banh Xeo,Bánh xèo,Banh Khot,Bánh khọt
Food,Món ăn,Keo Dua,Kẹo dừa,Keo Me Xung,Kẹo mè xửng
Food,Món ăn,Gio Lua,Giò lụa,Cha Que,Chả quế
Food,Món ăn,Banh Com,Bánh cốm,Banh Phu The,Bánh phu thê
Drinks,Đồ uống,Egg Coffee,Cà phê trứng,Salted Coffee,Cà phê muối
Drinks,Đồ uống,Iced Tea,Trà đá,Sugarcane Juice,Nước mía
Drinks,Đồ uống,Sua Dau Nanh,Sữa đậu nành,Sua Ngo,Sữa ngô
Drinks,Đồ uống,Tra Tac,Trà tắc,Tra Chanh,Trà chanh
Clothing,Trang phục,Ao Dai,Áo dài,Ao Ba Ba,Áo bà ba
Clothing,Trang phục,Ao Dai,Áo dài,Ao Tu Than,Áo tứ thân
Clothing,Trang phục,Non La,Nón lá,Non Quai Thao,Nón quai thao
Clothing,Trang phục,Non La,Nón lá,Mu bao hiem,Mũ bảo hiểm
Clothing,Trang phục,Ao Tu Than,Áo tứ thân,Ao Ba Ba,Áo bà ba
Instruments,Nhạc cụ,Dan Bau,Đàn bầu,Dan Tranh,Đàn tranh
Instruments,Nhạc cụ,Dan Nguyet,Đàn nguyệt,Dan Ti Ba,Đàn tỳ bà
Instruments,Nhạc cụ,Trong Dong,Trống đồng,Cong Chieng,Cồng chiêng
Places,Địa điểm,Ho Guom,Hồ Gươm,Ho Tay,Hồ Tây
Places,Địa điểm,Ho Guom,Hồ Gươm,Ho Xuan Huong,Hồ Xuân Hương
Places,Địa điểm,Cho Ben Thanh,Chợ Bến Thành,Cho Dong Xuan,Chợ Đồng Xuân
Places,Địa điểm,Vinh Ha Long,Vịnh Hạ Long,Dong Phong Nha,Động Phong Nha
Places,Địa điểm,Song Hong,Sông Hồng,Song Me Kong,Sông Mê Kông
Places,Địa điểm,Chua Huong,Chùa Hương,Chua Bai Dinh,Chùa Bái Đính
Festivals,Lễ hội,Tet Nguyen Dan,Tết Nguyên Đán,Tet Trung Thu,Tết Trung Thu
Festivals,Lễ hội,Tet Doan Ngo,Tết Đoan Ngọ,Tet Han Thuc,Tết Hàn Thực
Festivals,Lễ hội,Mua Lan,Múa lân,Mua Rong,Múa rồng
Festivals,Lễ hội,Roi Nuoc,Rối nước,Cheo,Hát chèo
Folk Tales,Truyện dân gian,Thanh Giong,Thánh Gióng,Thach Sanh,Thạch Sanh
Folk Tales,Truyện dân gian,Thanh Giong,Thánh Gióng,Son Tinh,Sơn Tinh
Folk Tales,Truyện dân gian,Son Tinh,Sơn Tinh,Thuy Tinh,Thủy Tinh
Folk Tales,Truyện dân gian,Son Tinh,Sơn Tinh,Thach Sanh,Thạch Sanh
Folk Tales,Truyện dân gian,Tam,Tấm,Cam,Cám
Folk Tales,Truyện dân gian,Tam,Tấm,Cinderella,Lọ Lem
Folk Tales,Truyện dân gian,Thach Sanh,Thạch Sanh,Ly Thong,Lý Thông
Folk Tales,Truyện dân gian,Trang Ti,Trạng Tí,Trang Quynh,Trạng Quỳnh
Folk Tales,Truyện dân gian,Lang Lieu,Lang Liêu,Mai An Tiem,Mai An Tiêm
Memes,Meme,Flexing,Flexing,Showing Off,Phông bạt
Memes,Meme,Green Tea,Trà xanh,Third Person,Tiểu tam
Memes,Meme,Trouble Maker,Báo thủ,Destroyer,Phá hoại
Memes,Meme,Fake Character,Giả trân,Hypocrite,Thảo mai
Memes,Meme,Pig Curse,Ngải heo,Weight Gain,Tăng cân
Memes,Meme,SOS,Ét ô ét,Rescue,Cứu hộ
Memes,Meme,Check VAR,Check VAR,Double Check,Soi mói
Memes,Meme,Dog Rice,Cơm chó,Dog Food,Cẩu lương
Memes,Meme,Flirting,Thả thính,Teasing,Tán tỉnh
Memes,Meme,Zinc Plated,Chằm kẽm,Depressed,Trầm cảm
Memes,Meme,My Destiny,Mai đẹt ti ni,Fate,Định mệnh
Memes,Meme,Oh My God,U là trời,Oh Lord,Ôi trời ơi
Memes,Meme,Unique Binh Duong,Độc lạ Bình Dương,Strange Thing,Kỳ lạ
Memes,Meme,National Wife,Vợ quốc dân,Rumored Lover,Người yêu tin đồn
Memes,Meme,Introvert,Hướng nội,Extrovert,Hướng ngoại
Memes,Meme,Ngoan Xinh Yeu,Ngoan xinh yêu,Sweetheart,Bé cưng
Memes,Meme,Horned,Cắm sừng,Betrayed,Phản bội
Memes,Meme,Over Hop,Over hợp,Very Match,Quá hợp
Memes,Meme,Luy Tinh,Lụy tình,Si Tinh,Si tình
Memes,Meme,Xin Chao,Hê sờ lô hơ sờ ly ly,Hello,Xin chào
Places,Địa điểm,Da Lat,Đà Lạt,Sa Pa,Sa Pa
Places,Địa điểm,Da Lat,Đà Lạt,Vung Tau,Vũng Tàu
Places,Địa điểm,Da Lat,Đà Lạt,Tam Dao,Tam Đảo
Places,Địa điểm,Hoi An,Hội An,Trang An,Tràng An
Places,Địa điểm,Phu Quoc,Phú Quốc,Nha Trang,Nha Trang
Places,Địa điểm,Landmark 81,Landmark 81,Bitexco,Bitexco
Places,Địa điểm,Landmark 81,Landmark 81,Keangnam,Keangnam
Places,Địa điểm,Pho Co Ha Noi,Phố cổ Hà Nội,Pho Di Bo Nguyen Hue,Phố đi bộ Nguyễn Huệ
Places,Địa điểm,Binh Duong,Bình Dương,Dong Nai,Đồng Nai
Places,Địa điểm,Binh Duong,Bình Dương,Thanh Hoa,Thanh Hóa
Places,Địa điểm,Mui Ne,Mũi Né,Vung Tau,Vũng Tàu
Places,Địa điểm,Fansipan,Fansipan,Yen Tu,Yên Tử
Places,Địa điểm,Nha Tho Duc Ba,Nhà thờ Đức Bà,Nha Tho Lon Ha Noi,Nhà thờ Lớn Hà Nội
Places,Địa điểm,Deo Hai Van,Đèo Hải Vân,Deo Ma Pi Leng,Đèo Mã Pí Lèng
Technology,Công nghệ,TikTok,TikTok,Douyin,Douyin
Social Media,Mạng xã hội,Threads,Threads,Twitter,Twitter
Social Media,Mạng xã hội,Tinder,Tinder,Bumble,Bumble
Technology,Công nghệ,Zalo,Zalo,Viber,Viber
Technology,Công nghệ,Messenger,Messenger,Telegram,Telegram
Technology,Công nghệ,Shopee,Shopee,Lazada,Lazada
Technology,Công nghệ,Grab,Grab,Be,Be
Technology,Công nghệ,MoMo,MoMo,ZaloPay,ZaloPay
Technology,Công nghệ,Spotify,Spotify,Apple Music,Apple Music
Technology,Công nghệ,CapCut,CapCut,Canva,Canva
Places,Địa điểm,Thanh Hoa,Thanh Hóa,Nghe An,Nghệ An
Places,Địa điểm,Tuyen Quang,Tuyên Quang,Thai Nguyen,Thái Nguyên
Household,Đồ dùng gia đình,Air Conditioner,Máy lạnh,Fan,Quạt
Household,Đồ dùng gia đình,Air Conditioner,Máy lạnh,Refrigerator,Tủ lạnh
Household,Đồ dùng gia đình,Air Conditioner,Máy lạnh,Peltier Cooler,Sò lạnh
Household,Đồ dùng gia đình,Television,Tivi,Projector,Máy chiếu
Household,Đồ dùng gia đình,Television,Tivi,Computer Monitor,Màn hình máy tính
Household,Đồ dùng gia đình,Microwave,Lò vi sóng,Oven,Lò nướng
Household,Đồ dùng gia đình,Electric Cooker,Nồi cơm điện,Pressure Cooker,Nồi áp suất
Household,Đồ dùng gia đình,Blender,Máy xay sinh tố,Juicer,Máy ép trái cây
Household,Đồ dùng gia đình,Vacuum Cleaner,Máy hút bụi,Robot Vacuum,Robot hút bụi
Household,Đồ dùng gia đình,Hair Dryer,Máy sấy tóc,Hair Straightener,Máy duỗi tóc
Household,Đồ dùng gia đình,Electric Kettle,Ấm siêu tốc,Thermos,Bình thủy
Objects,Đồ vật,Smart Watch,Smartwatch,Mechanical Watch,Đồng hồ cơ
Objects,Đồ vật,Smart Watch,Smartwatch,Smartband,Vòng đeo tay thông minh
Objects,Đồ vật,Laptop,Laptop,Tablet,Máy tính bảng
Objects,Đồ vật,Laptop,Laptop,Desktop PC,Máy tính để bàn
Objects,Đồ vật,Smartphone,Smartphone,Keypad Phone,Điện thoại cục gạch
Objects,Đồ vật,Headphones,Tai nghe chụp tai,Earbuds,Tai nghe nhét tai
Objects,Đồ vật,Power Bank,Pin dự phòng,Charging Cable,Cáp sạc
Objects,Đồ vật,Desktop PC,Máy tính để bàn,All-in-One PC,Máy tính AIO
Objects,Đồ vật,Keyboard,Bàn phím,Mouse,Chuột máy tính
Objects,Đồ vật,Microphone,Micro,Megaphone,Loa cầm tay
Objects,Đồ vật,Router,Cục phát Wi-Fi,Modem,Modem
Objects,Đồ vật,SIM Card,Thẻ SIM,Memory Card,Thẻ nhớ
Objects,Đồ vật,Hard Drive,Ổ cứng di động,USB Flash Drive,USB
Objects,Đồ vật,Camera,Máy ảnh,Camcorder,Máy quay phim
Objects,Đồ vật,Tripod,Chân máy ảnh,Selfie Stick,Gậy tự sướng
Objects,Đồ vật,E-reader,Máy đọc sách,Tablet,Máy tính bảng
Objects,Đồ vật,Walkie Talkie,Bộ đàm,Smart Speaker,Loa thông minh
Objects,Đồ vật,Projector Screen,Màn chiếu,Whiteboard,Bảng trắng
Objects,Đồ vật,Stylus Pen,Bút cảm ứng,Pencil,Bút chì
Objects,Đồ vật,Teacup,Tách trà,Coffee Mug,Ly cà phê
Objects,Đồ vật,Chopsticks,Đũa,Straw,Ống hút
Objects,Đồ vật,Wok,Chảo sâu lòng,Frying Pan,Chảo rán
Objects,Đồ vật,Teapot,Ấm trà,Thermos,Bình giữ nhiệt
Objects,Đồ vật,Spatula,Xẻng nấu ăn,Ladle,Vá múc canh
Objects,Đồ vật,Colander,Rổ ráo nước,Sieve,Rây bột
Objects,Đồ vật,Apron,Tạp dề,Oven Mitts,Găng tay cách nhiệt
Objects,Đồ vật,Toothpick,Tăm,Dental Floss,Chỉ nha khoa
Objects,Đồ vật,Ice Tray,Khay đá,Ice Bucket,Xô đá
Objects,Đồ vật,Kitchen Scale,Cân tiểu ly,Measuring Cup,Cốc đong
Objects,Đồ vật,Can Opener,Khui đồ hộp,Corkscrew,Khui rượu vang
Objects,Đồ vật,Peeler,Dao nạo vỏ,Grater,Bàn nạo rau củ
Objects,Đồ vật,Salt Shaker,Lọ muối,Pepper Grinder,Lọ xay tiêu
Objects,Đồ vật,Tablecloth,Khăn trải bàn,Placemat,Tấm lót đĩa
Objects,Đồ vật,Beer Mug,Cốc bia,Wine Glass,Ly rượu vang
Objects,Đồ vật,Ballpoint Pen,Bút bi,Gel Pen,Bút gel
Objects,Đồ vật,Pencil,Bút chì,Mechanical Pencil,Bút chì kim
Objects,Đồ vật,Sticky Notes,Giấy nhớ,Bookmark,Kẹp sách
Objects,Đồ vật,Stapler,Dập ghim,Paper Clip,Kẹp giấy
Objects,Đồ vật,Scissors,Kéo,Utility Knife,Dao rọc giấy
Objects,Đồ vật,Glue Stick,Hồ dán khô,Liquid Glue,Keo nước
Objects,Đồ vật,Correction Tape,Bút xóa kéo,Correction Fluid,Bút xóa nước
Objects,Đồ vật,Highlighter,Bút dạ quang,Colored Pencil,Bút chì màu
Objects,Đồ vật,Whiteboard Marker,Bút viết bảng,Permanent Marker,Bút lông dầu
Objects,Đồ vật,File Folder,Bìa hồ sơ,Ring Binder,File còng
Objects,Đồ vật,Calculator,Máy tính bỏ túi,Abacus,Bàn tính
Objects,Đồ vật,Envelope,Phong bì,Postcard,Bưu thiếp
Objects,Đồ vật,Ruler,Thước kẻ,Tape Measure,Thước cuộn
Objects,Đồ vật,Drawing Compass,Com-pa,Protractor,Thước đo độ
Objects,Đồ vật,Calendar,Lịch để bàn,Wall Calendar,Lịch treo tường
Objects,Đồ vật,Badge,Thẻ tên,Lanyard,Dây đeo thẻ
Objects,Đồ vật,Stamp,Con dấu,Ink Pad,Khay mực
Objects,Đồ vật,Notebook Paper,Giấy kẻ ngang,Graph Paper,Giấy ô ly
Objects,Đồ vật,Pencil Case,Hộp bút,Backpack,Ba lô
Objects,Đồ vật,Wallet,Ví tiền,Card Holder,Ví đựng thẻ
Objects,Đồ vật,Keyring,Móc khóa,Lanyard,Dây đeo cổ
Objects,Đồ vật,Eyeglasses,Kính cận,Sunglasses,Kính râm
Objects,Đồ vật,Backpack,Ba lô,Suitcase,Va-li
Objects,Đồ vật,Teddy Bear,Gấu bông,Barbie Doll,Búp bê
Objects,Đồ vật,Lego,Lego,Puzzle,Tranh ghép hình
Objects,Đồ vật,Rubik Cube,Khối Rubik,Fidget Spinner,Fidget Spinner
Objects,Đồ vật,Kite,Diều,Frisbee,Đĩa bay
Objects,Đồ vật,Yoyo,Yoyo,Slingshot,Ná cao su
Objects,Đồ vật,Water Gun,Súng nước,Nerf Gun,Súng đạn xốp
Objects,Đồ vật,Skateboard,Ván trượt,Roller Skates,Giày patin
Objects,Đồ vật,Bicycle,Xe đạp,Kick Scooter,Xe trượt scooter
Objects,Đồ vật,Playing Cards,Bài Tây,Board Game,Cờ tỷ phú
Objects,Đồ vật,Model Car,Mô hình ô tô,RC Plane,Máy bay điều khiển
Objects,Đồ vật,Paint Palette,Bảng màu,Sketchbook,Sổ vẽ
Objects,Đồ vật,Binoculars,Ống nhòm,Telescope,Kính thiên văn
Objects,Đồ vật,Compass,La bàn,GPS,Thiết bị định vị
Objects,Đồ vật,Guitar,Đàn guitar,Ukulele,Đàn ukulele
Objects,Đồ vật,Chessboard,Bàn cờ vua,Go Board,Bàn cờ vây
Objects,Đồ vật,Microscope,Kính hiển vi,Magnifying Glass,Kính lúp
Objects,Đồ vật,Action Figure,Mô hình nhân vật,Plush Toy,Thú nhồi bông
Objects,Đồ vật,Dartboard,Bảng phi tiêu,Foosball Table,Bàn bi lắc
Objects,Đồ vật,Poker Chips,Phỉnh poker,Dice,Xúc xắc
Household,Đồ dùng gia đình,Sofa,Ghế sofa,Armchair,Ghế bành
Household,Đồ dùng gia đình,Wardrobe,Tủ quần áo,Chest of Drawers,Tủ ngăn kéo
Household,Đồ dùng gia đình,Bookshelf,Kệ sách,Shoe Rack,Kệ giày
Household,Đồ dùng gia đình,Mirror,Gương soi,Window,Cửa sổ
Household,Đồ dùng gia đình,Doorbell,Chuông cửa,Door Lock,Khóa cửa
Household,Đồ dùng gia đình,Curtain,Rèm cửa,Blinds,Rèm sáo
Household,Đồ dùng gia đình,Mattress,Nệm,Topper,Tấm bảo vệ nệm
Household,Đồ dùng gia đình,Trash Can,Thùng rác,Trash Bag,Túi rác
Household,Đồ dùng gia đình,Hanger,Móc áo,Clothes Peg,Kẹp phơi quần áo
Household,Đồ dùng gia đình,Ironing Board,Cầu là quần áo,Clothes Airer,Giàn phơi quần áo
Household,Đồ dùng gia đình,Laundry Basket,Giỏ đồ giặt,Washing Machine,Máy giặt
Household,Đồ dùng gia đình,Mop,Cây lau nhà,Bucket,Xô đựng nước
Household,Đồ dùng gia đình,Duster,Chổi lông gà,Cleaning Cloth,Khăn lau
Household,Đồ dùng gia đình,Slippers,Dép đi trong nhà,Sandals,Xăng-đan
Household,Đồ dùng gia đình,Door Mat,Thảm chùi chân,Carpet,Thảm trải sàn
Household,Đồ dùng gia đình,Shoe Horn,Đón gót giày,Shoe Polish,Xi đánh giày
Household,Đồ dùng gia đình,Toaster,Máy nướng bánh mì,Oven,Lò nướng
Household,Đồ dùng gia đình,Dishwasher,Máy rửa bát,Kitchen Sink,Bồn rửa chén
Household,Đồ dùng gia đình,Water Purifier,Máy lọc nước,Water Dispenser,Cây nước nóng lạnh
Household,Đồ dùng gia đình,Toothbrush,Bàn chải đánh răng,Electric Toothbrush,Bàn chải điện
Household,Đồ dùng gia đình,Razor,Dao cạo râu,Electric Shaver,Máy cạo râu
Household,Đồ dùng gia đình,Hairbrush,Lược tròn,Comb,Lược chải
Household,Đồ dùng gia đình,Perfume,Nước hoa,Body Mist,Xịt thơm toàn thân
Household,Đồ dùng gia đình,Deodorant,Lăn khử mùi,Body Spray,Xịt khử mùi
Household,Đồ dùng gia đình,Lipstick,Son môi,Lip Balm,Son dưỡng
Household,Đồ dùng gia đình,Nail Clipper,Bấm móng tay,Nail File,Dũa móng tay
Household,Đồ dùng gia đình,Hair Dryer,Máy sấy tóc,Hair Curler,Máy uốn tóc
Household,Đồ dùng gia đình,Sunscreen,Kem chống nắng,Moisturizer,Kem dưỡng ẩm
Household,Đồ dùng gia đình,Face Wash,Sữa rửa mặt,Makeup Remover,Tẩy trang
Household,Đồ dùng gia đình,Towel,Khăn tắm,Face Towel,Khăn lau mặt
Household,Đồ dùng gia đình,Cotton Swab,Tăm bông,Cotton Pad,Bông tẩy trang
Household,Đồ dùng gia đình,Shampoo,Dầu gội,Shower Gel,Sữa tắm
Household,Đồ dùng gia đình,Hand Sanitizer,Nước rửa tay khô,Hand Soap,Nước rửa tay
Household,Đồ dùng gia đình,Wet Wipes,Khăn ướt,Tissue Paper,Khăn giấy
Household,Đồ dùng gia đình,Hammer,Búa,Mallet,Búa cao su
Household,Đồ dùng gia đình,Screwdriver,Tô-vít,Wrench,Cờ-lê
Household,Đồ dùng gia đình,Pliers,Kìm,Wire Cutter,Kìm cắt dây
Household,Đồ dùng gia đình,Hand Saw,Cưa tay,Chainsaw,Cưa máy
Household,Đồ dùng gia đình,Electric Drill,Máy khoan điện,Hammer Drill,Máy khoan bê tông
Household,Đồ dùng gia đình,Ladder,Thang,Step Stool,Bệ bước
Household,Đồ dùng gia đình,Tape Measure,Thước cuộn,Laser Measure,Thước đo laser
Household,Đồ dùng gia đình,Nail,Đinh,Screw,Ốc vít
Household,Đồ dùng gia đình,Padlock,Khóa móc,Combination Lock,Khóa số
Household,Đồ dùng gia đình,Electrical Tape,Băng dính điện,Duct Tape,Băng keo bạc
Household,Đồ dùng gia đình,Super Glue,Keo 502,Hot Glue Gun,Súng bắn keo nến
Household,Đồ dùng gia đình,Paintbrush,Chổi quét sơn,Paint Roller,Con lăn sơn
Household,Đồ dùng gia đình,Toolbox,Hộp đựng dụng cụ,Organizer Box,Khay chia ngăn
Household,Đồ dùng gia đình,Safety Goggles,Kính bảo hộ,Face Shield,Mặt nạ bảo hộ
Household,Đồ dùng gia đình,Work Gloves,Găng tay bảo hộ,Safety Vest,Áo phản quang
Household,Đồ dùng gia đình,Level Ruler,Thước thủy,Plumb Bob,Quả dọi
Clothing,Trang phục,Sneakers,Giày thể thao,Running Shoes,Giày chạy bộ
Clothing,Trang phục,Leather Shoes,Giày da,Boots,Ủng / Bốt
Clothing,Trang phục,High Heels,Giày cao gót,Flat Shoes,Giày búp bê
Clothing,Trang phục,Socks,Tất,Stockings,Quần tất
Clothing,Trang phục,Beanie,Mũ len,Beret,Mũ nồi
Clothing,Trang phục,Gloves,Găng tay,Mittens,Găng tay hở ngón
Clothing,Trang phục,Scarf,Khăn quàng cổ,Shawl,Khăn choàng
Clothing,Trang phục,Jeans,Quần jean,Khaki Pants,Quần kaki
Clothing,Trang phục,Shorts,Quần short,Swimwear,Đồ bơi
Clothing,Trang phục,T-Shirt,Áo thun,Polo Shirt,Áo polo
Clothing,Trang phục,Jacket,Áo khoác,Coat,Áo măng tô
Clothing,Trang phục,Suit,Comple / Vest,Tuxedo,Tuxedo
Clothing,Trang phục,Raincoat,Áo mưa,Windbreaker,Áo gió
Clothing,Trang phục,Necklace,Vòng cổ,Pendant,Mặt dây chuyền
Clothing,Trang phục,Earrings,Bông tai,Studs,Khuyên nụ
Clothing,Trang phục,Watch,Đồng hồ đeo tay,Pocket Watch,Đồng hồ quả quýt
Clothing,Trang phục,Hair Clip,Kẹp tóc,Hairband,Băng đô
Clothing,Trang phục,Handbag,Túi xách,Backpack,Ba lô
Clothing,Trang phục,Glasses,Kính mắt,Contact Lenses,Kính áp tròng
Nature,Thiên nhiên,Storm,Bão,Tornado,Vòi rồng
Nature,Thiên nhiên,Wind,Gió,Breeze,Gió nhẹ
Nature,Thiên nhiên,Desert,Sa mạc,Oasis,Ốc đảo
Nature,Thiên nhiên,Valley,Thung lũng,Canyon,Hẻm núi
Nature,Thiên nhiên,Waterfall,Thác nước,Spring,Suối
Nature,Thiên nhiên,Cave,Hang động,Tunnel,Đường hầm
Vehicles,Phương tiện,Car,Ô tô,Bus,Xe buýt
Vehicles,Phương tiện,Motorcycle,Xe máy,Scooter,Xe tay ga
Vehicles,Phương tiện,Train,Tàu hỏa,Metro,Tàu điện ngầm
Vehicles,Phương tiện,Bicycle,Xe đạp,Electric Bike,Xe đạp điện
Vehicles,Phương tiện,Submarine,Tàu ngầm,Battleship,Tàu chiến
Vehicles,Phương tiện,Truck,Xe tải,Van,Xe bán tải
Vehicles,Phương tiện,Tractor,Xe máy cày,Excavator,Xe máy xúc
Vehicles,Phương tiện,Ambulance,Xe cứu thương,Fire Engine,Xe cứu hỏa
Vehicles,Phương tiện,Taxi,Taxi,Ride-Hailing Car,Xe công nghệ
Vehicles,Phương tiện,Tram,Tàu điện mặt đất,Trolleybus,Xe buýt điện bánh hơi
Vehicles,Phương tiện,Skateboard,Ván trượt,Longboard,Ván trượt dài
Vehicles,Phương tiện,Yacht,Du thuyền,Cruise Ship,Tàu du lịch
Vehicles,Phương tiện,Hovercraft,Tàu đệm khí,Hydrofoil,Tàu cánh ngầm
Vehicles,Phương tiện,Stroller,Xe đẩy em bé,Wheelchair,Xe lăn
Food,Món ăn,Croissant,Bánh sừng bò,Baguette,Bánh mì Pháp
Food,Món ăn,Spaghetti,Mì Ý,Macaroni,Nui
Food,Món ăn,Hamburger,Hamburger,Cheeseburger,Cheeseburger
Food,Món ăn,Sushi,Sushi,Sashimi,Sashimi
Food,Món ăn,Taco,Bánh Taco,Quesadilla,Bánh Quesadilla
Food,Món ăn,Steak,Bít tết,Ribs,Sườn nướng
Food,Món ăn,Pancakes,Bánh Pancakes,Waffles,Bánh Waffles
Food,Món ăn,Donut,Bánh Donut,Bagel,Bánh vòng Bagel
Food,Món ăn,Salad,Xa-lách,Coleslaw,Xa-lách bắp cải
Food,Món ăn,French Fries,Khoai tây chiên,Potato Chips,Khoai tây lát chiên
Food,Món ăn,Beef,Thịt bò,Pork,Thịt lợn
Food,Món ăn,Chicken,Thịt gà,Duck,Thịt vịt
Food,Món ăn,Shrimp,Tôm,Crab,Cua
Food,Món ăn,Cabbage,Bắp cải,Lettuce,Xà lách
Food,Món ăn,Carrot,Cà rốt,Radish,Củ cải
Food,Món ăn,Onion,Hành tây,Garlic,Tỏi
Food,Món ăn,Tomato,Cà chua,Potato,Khoai tây
Food,Món ăn,Apple,Táo,Pear,Lê
Food,Món ăn,Orange,Cam,Tangerine,Quýt
Food,Món ăn,Banana,Chuối,Plantain,Chuối sứ
Food,Món ăn,Watermelon,Dưa hấu,Melon,Dưa lưới
Food,Món ăn,Strawberry,Dâu tây,Raspberry,Phúc bồn tử
Food,Món ăn,Grape,Nho,Raisin,Nho khô
Food,Món ăn,Peach,Đào,Plum,Mận
Food,Món ăn,Mango,Xoài,Papaya,Đu đủ
Food,Món ăn,Pineapple,Dứa,Jackfruit,Mít
Food,Món ăn,Coconut,Dừa,Palm,Thốt nốt
Food,Món ăn,Peanut,Lạc,Cashew,Hạt điều
Food,Món ăn,Almond,Hạnh nhân,Walnut,Óc chó
Drinks,Đồ uống,Espresso,Espresso,Americano,Americano
Drinks,Đồ uống,Cappuccino,Cappuccino,Latte,Latte
Drinks,Đồ uống,Green Tea,Trà xanh,Black Tea,Hồng trà
Drinks,Đồ uống,Milk Tea,Trà sữa,Fruit Tea,Trà trái cây
Drinks,Đồ uống,Lemonade,Nước chanh,Orange Juice,Nước cam
Drinks,Đồ uống,Smoothie,Sinh tố,Milkshake,Sữa lắc
Drinks,Đồ uống,Red Wine,Rượu vang đỏ,White Wine,Rượu vang trắng
Drinks,Đồ uống,Champagne,Sâm-panh,Sparkling Wine,Rượu vang nổ
Drinks,Đồ uống,Whiskey,Whiskey,Vodka,Vodka
Drinks,Đồ uống,Beer,Bia,Cider,Bia trái cây
Drinks,Đồ uống,Soda,Soda,Tonic,Tonic
